"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01380",-1.82426861855239,11.5782282062481,488.50919330284,2.05840530836391e-29,5.71619154132657e-26,"LK433_RS01380","LK433_RS01380"
"LK433_RS07845",-1.18887455648631,12.0728116962799,389.222301551236,3.56811206965271e-27,4.95432360871279e-24,"LK433_RS07845","LK433_RS07845"
"LK433_RS01385",-1.78331423404739,10.6153269575352,382.983185040283,6.96269846356256e-27,6.44513787777107e-24,"LK433_RS01385","LK433_RS01385"
"LK433_RS12875",2.42657673725553,8.22378449957201,351.663313328552,4.4194739654261e-26,3.06821980049707e-23,"LK433_RS12875","LK433_RS12875"
"LK433_RS10200",2.05380150512303,8.74154695467778,336.455004367956,1.30878404936786e-25,7.26898661018912e-23,"LK433_RS10200","LK433_RS10200"
"LK433_RS01390",-1.58170848716191,9.57617891003961,281.772528341596,9.50129461796344e-24,4.39751585901408e-21,"LK433_RS01390","LK433_RS01390"
"LK433_RS07140",2.8691169867804,7.04799832384521,239.465809789976,4.34108050787553e-22,1.72216865291005e-19,"LK433_RS07140","LK433_RS07140"
"LK433_RS13520",1.08632320865277,9.9114303274229,167.915891061242,1.19618369141842e-18,4.15225263883619e-16,"LK433_RS13520","LK433_RS13520"
"LK433_RS09935",1.59354850469338,7.79935266321925,151.489915513398,1.05537066021162e-17,3.25640480378629e-15,"LK433_RS09935","LK433_RS09935"
"LK433_RS02510",2.34142524015614,7.47406044328881,168.189239123365,1.30863224065736e-17,3.30370157482316e-15,"LK433_RS02510","LK433_RS02510"
"LK433_RS13035",-0.882610360443507,11.508205682276,150.416447554816,1.2240288540612e-17,3.30370157482316e-15,"LK433_RS13035","LK433_RS13035"
"LK433_RS13030",-0.859507729765899,11.3683053003937,146.07242382702,2.2481361832225e-17,5.20256181734074e-15,"LK433_RS13030","LK433_RS13030"
"LK433_RS02520",1.68794338030235,7.5538802101755,144.282443453545,2.89920493090851e-17,6.19314776394842e-15,"LK433_RS02520","LK433_RS02520"
"LK433_RS12635",1.07295572446569,9.63341994440874,136.124795506325,9.5181193943304e-17,1.88798696843254e-14,"LK433_RS12635","LK433_RS12635"
"LK433_RS06055",0.850989157343325,10.3574859156969,131.53291840705,1.90075259312951e-16,3.51892663408043e-14,"LK433_RS06055","LK433_RS06055"
"LK433_RS03650",0.827304750061593,11.7811454161877,129.187822255559,2.72389275673914e-16,4.69287840101679e-14,"LK433_RS03650","LK433_RS03650"
"LK433_RS13040",-0.770794043974114,12.3722407250755,128.843330375339,2.8728459782962e-16,4.69287840101679e-14,"LK433_RS13040","LK433_RS13040"
"LK433_RS05375",-1.2686270343781,8.83059535533722,124.233596402917,5.91497400093903e-16,9.12549044478204e-14,"LK433_RS05375","LK433_RS05375"
"LK433_RS01500",1.10052886563076,8.91473566785323,121.78355816893,8.74876391615394e-16,1.27870091553471e-13,"LK433_RS01500","LK433_RS01500"
"LK433_RS11435",-0.758386398688839,11.4173416490686,118.331659291087,1.53282482903301e-15,2.06657349708117e-13,"LK433_RS11435","LK433_RS11435"
"LK433_RS12210",-1.13266719491407,9.49305717885652,118.370047297878,1.56276713859217e-15,2.06657349708117e-13,"LK433_RS12210","LK433_RS12210"
"LK433_RS10090",1.21755033500952,8.06317783140507,115.163440247509,2.59017134888064e-15,3.26950265265524e-13,"LK433_RS10090","LK433_RS10090"
"LK433_RS02525",1.73446730208219,6.92311196877608,113.14867570654,3.63439938518399e-15,4.38814221419824e-13,"LK433_RS02525","LK433_RS02525"
"LK433_RS11165",0.994125273278612,10.2838614830372,113.501804445957,4.11344143774749e-15,4.75959453026033e-13,"LK433_RS11165","LK433_RS11165"
"LK433_RS00645",-1.14407742878738,8.17538837747423,108.937995666171,7.47554612285248e-15,8.30383663326454e-13,"LK433_RS00645","LK433_RS00645"
"LK433_RS13710",0.865232470244202,9.84768275817832,108.673793347834,7.82641582846207e-15,8.35921413678429e-13,"LK433_RS13710","LK433_RS13710"
