"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS06275",-0.959222997757261,9.1582209326264,113.549485510631,3.39647469906739e-15,9.43201023931014e-12,"LK433_RS06275","LK433_RS06275"
"LK433_RS13645",-0.672025810275112,9.57188945577828,73.8027243011933,7.13115529511001e-12,9.90160912726025e-09,"LK433_RS13645","LK433_RS13645"
"LK433_RS06525",-0.789600351395541,8.28162378640067,69.8955105006022,1.71338132964991e-11,1.58601998414593e-08,"LK433_RS06525","LK433_RS06525"
"LK433_RS03825",-0.456905948874085,11.5826615266294,49.3163153337763,2.89152673173670e-09,1.78321863482408e-06,"LK433_RS03825","LK433_RS03825"
"LK433_RS10600",-0.462716231956096,9.9093245347926,48.9340431632411,3.21069253659358e-09,1.78321863482408e-06,"LK433_RS10600","LK433_RS10600"
"LK433_RS00365",-0.642661008327669,8.36371060259098,34.4417910382927,2.34452759239112e-07,0.000108512552067836,"LK433_RS00365","LK433_RS00365"
"LK433_RS09955",-0.595388896454363,8.27890350757604,33.34360588155,3.34019172263549e-07,0.000132510177339411,"LK433_RS09955","LK433_RS09955"
"LK433_RS08645",-0.514240555053069,10.0342522705169,32.6839917461973,4.34154289458987e-07,0.000133960717980845,"LK433_RS08645","LK433_RS08645"
"LK433_RS09920",-0.43434786594996,10.4093598088994,32.561625582883,4.3097152293624e-07,0.000133960717980845,"LK433_RS09920","LK433_RS09920"
"LK433_RS05480",-0.464525031634611,9.39907890154417,26.1781673382483,3.79201927221815e-06,0.00105304375189498,"LK433_RS05480","LK433_RS05480"
"LK433_RS10200",0.509849985782085,8.74154695467778,24.9071844698338,5.97506019922713e-06,0.00150843110665943,"LK433_RS10200","LK433_RS10200"
"LK433_RS12315",-0.313196480287022,11.4472804926631,24.6278755073642,6.60985957366276e-06,0.00152963166967179,"LK433_RS12315","LK433_RS12315"
"LK433_RS10475",-0.464506568728557,8.58697226486033,23.9085498821287,8.58803251898038e-06,0.00183453586963142,"LK433_RS10475","LK433_RS10475"
"LK433_RS06530",-0.460545659975418,8.59027018329596,23.0105402619041,1.19517434519096e-05,0.00221266610439687,"LK433_RS06530","LK433_RS06530"
"LK433_RS13145",-0.613108640929971,9.67069491101011,26.1216848356614,1.14896805510374e-05,0.00221266610439687,"LK433_RS13145","LK433_RS13145"
"LK433_RS09635",-0.499102514317577,8.48306078893102,22.5214229482339,1.4334184427335e-05,0.00248787688466934,"LK433_RS09635","LK433_RS09635"
