"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS10200",2.27178358179861,8.74154695467778,446.143972071773,1.14941051010591e-28,3.19191298656411e-25,"LK433_RS10200","LK433_RS10200"
"LK433_RS12875",2.42420494926586,8.22378449957201,381.697053346996,5.80541215379638e-27,8.06081477554627e-24,"LK433_RS12875","LK433_RS12875"
"LK433_RS07140",3.07215621228553,7.04799832384521,295.439124839182,3.06093006002681e-24,2.83340092556481e-21,"LK433_RS07140","LK433_RS07140"
"LK433_RS01380",-1.31292260563513,11.5782282062481,283.518959680036,1.24441002814552e-23,8.63931662040027e-21,"LK433_RS01380","LK433_RS01380"
"LK433_RS01385",-1.2443834798402,10.6153269575352,210.312705891269,1.00283627679958e-20,5.31581802806013e-18,"LK433_RS01385","LK433_RS01385"
"LK433_RS02520",1.94957539302038,7.5538802101755,207.454056222299,1.14853828478073e-20,5.31581802806013e-18,"LK433_RS02520","LK433_RS02520"
"LK433_RS07845",-0.822807879237923,12.0728116962799,205.381314981439,1.43925662124155e-20,5.70973662455399e-18,"LK433_RS07845","LK433_RS07845"
"LK433_RS01390",-1.24404390516016,9.57617891003961,197.515767279895,3.44519619820547e-20,1.19591373030207e-17,"LK433_RS01390","LK433_RS01390"
"LK433_RS02510",2.59217496091663,7.47406044328881,219.306518056451,6.64110530492766e-20,2.0491499368649e-17,"LK433_RS02510","LK433_RS02510"
"LK433_RS02525",2.04368727452908,6.92311196877608,169.93684495082,9.2532196754619e-19,2.56961910387577e-16,"LK433_RS02525","LK433_RS02525"
"LK433_RS06290",-0.759920511122541,10.6276976150343,144.547027186444,2.79183475968985e-17,7.04811375241702e-15,"LK433_RS06290","LK433_RS06290"
"LK433_RS06285",-0.705962436516391,11.7377627836898,124.921241582609,5.30466961627763e-16,1.03066136769072e-13,"LK433_RS06285","LK433_RS06285"
"LK433_RS10000",0.859551730371393,10.2495910658256,125.983057675537,4.48727714992884e-16,1.03066136769072e-13,"LK433_RS10000","LK433_RS10000"
"LK433_RS12865",2.50014438694877,6.40198866877962,128.846588684576,5.56713018198085e-16,1.03066136769072e-13,"LK433_RS12865","LK433_RS12865"
"LK433_RS12870",2.20208916746909,6.88524012055974,131.367311920455,5.24634490918598e-16,1.03066136769072e-13,"LK433_RS12870","LK433_RS12870"
"LK433_RS10760",1.17857534362214,7.74227089565839,113.78819071732,3.26249349866834e-15,5.66246527862624e-13,"LK433_RS10760","LK433_RS10760"
"LK433_RS13520",0.846255468731013,9.9114303274229,112.879357667379,3.80390610581461e-15,6.21379250343951e-13,"LK433_RS13520","LK433_RS13520"
"LK433_RS12210",-1.05005664181611,9.49305717885652,112.285863057441,4.31051561747019e-15,6.65016770539706e-13,"LK433_RS12210","LK433_RS12210"
"LK433_RS12635",0.924408910119012,9.63341994440874,111.418904232627,4.87687314333648e-15,7.12793511528706e-13,"LK433_RS12635","LK433_RS12635"
"LK433_RS02515",2.07124961995303,7.4895180204127,131.90047808074,7.54638877227984e-15,9.97920077172435e-13,"LK433_RS02515","LK433_RS02515"
"LK433_RS12220",-1.04632883576619,8.3865654519612,109.140353994211,7.21784361260222e-15,9.97920077172435e-13,"LK433_RS12220","LK433_RS12220"
"LK433_RS11425",2.99495222049484,9.41398207782131,232.164178548069,1.9047258665656e-14,2.40428351429667e-12,"LK433_RS11425","LK433_RS11425"
"LK433_RS10090",1.07557704018031,8.06317783140507,100.177774976485,3.56366114142781e-14,4.30273347380219e-12,"LK433_RS10090","LK433_RS10090"
"LK433_RS10020",0.886764538309831,8.6349258906087,98.8072870138758,4.5862725269597e-14,5.30669950306962e-12,"LK433_RS10020","LK433_RS10020"
