"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01380",-1.08699194137229,11.5782282062481,202.790410607699,2.64199427906129e-20,7.33681811295321e-17,"LK433_RS01380","LK433_RS01380"
"LK433_RS01390",-1.19945084708693,9.57617891003961,189.76029800557,8.36952807238603e-20,1.1621089728508e-16,"LK433_RS01390","LK433_RS01390"
"LK433_RS01385",-1.01727640667498,10.6153269575352,146.093994600019,2.54238756825987e-17,2.35340342568589e-14,"LK433_RS01385","LK433_RS01385"
"LK433_RS05375",-1.12751798089763,8.83059535533722,113.053335950032,3.69349313358991e-15,2.38050037360167e-12,"LK433_RS05375","LK433_RS05375"
"LK433_RS12875",1.32272843074403,8.22378449957201,112.176273988756,4.28610078070159e-15,2.38050037360167e-12,"LK433_RS12875","LK433_RS12875"
"LK433_RS07390",-1.0592425739271,8.58287261214358,107.640081734118,9.37155580428634e-15,4.33746841141719e-12,"LK433_RS07390","LK433_RS07390"
"LK433_RS12635",0.884804727692206,9.63341994440874,101.140751918007,2.98874704829361e-14,1.18567865044448e-11,"LK433_RS12635","LK433_RS12635"
"LK433_RS00650",-0.950171937737564,9.21435640738933,98.4326873489511,4.91560814690565e-14,1.70633047799462e-11,"LK433_RS00650","LK433_RS00650"
"LK433_RS07845",-0.538297550072204,12.0728116962799,91.7604563396963,1.74067134069023e-13,5.37093812566308e-11,"LK433_RS07845","LK433_RS07845"
"LK433_RS10200",0.988112083050514,8.74154695467778,85.4701782229297,6.05099457870182e-13,1.6803611945055e-10,"LK433_RS10200","LK433_RS10200"
"LK433_RS06275",0.805642303835408,9.1582209326264,78.1127141799487,2.79551734851001e-12,7.05741061528392e-10,"LK433_RS06275","LK433_RS06275"
"LK433_RS01500",0.827836321377874,8.91473566785323,76.7353207791148,3.75819024845779e-12,8.02807255382099e-10,"LK433_RS01500","LK433_RS01500"
"LK433_RS09940",0.868875352800714,8.8095951820676,76.7491027082265,3.74702142311541e-12,8.02807255382099e-10,"LK433_RS09940","LK433_RS09940"
"LK433_RS13710",0.668532890124477,9.84768275817832,71.2424791586664,1.26263311207605e-11,2.50452296588229e-09,"LK433_RS13710","LK433_RS13710"
"LK433_RS03825",0.537786273710044,11.5826615266294,66.0930716176873,4.13075356965252e-11,7.64740177528336e-09,"LK433_RS03825","LK433_RS03825"
"LK433_RS13645",0.64011668652285,9.57188945577828,64.8903226931029,5.48828087993541e-11,9.52559750223789e-09,"LK433_RS13645","LK433_RS13645"
"LK433_RS12365",0.713238549822311,8.98191658239446,63.6511055080276,7.37730827448329e-11,1.20510500460236e-08,"LK433_RS12365","LK433_RS12365"
"LK433_RS05415",1.07941793517882,7.40259011476318,62.2193354850166,1.04235741039714e-10,1.6081258492627e-08,"LK433_RS05415","LK433_RS05415"
"LK433_RS00645",-0.798721336570182,8.17538837747423,61.1248094916023,1.3615377792055e-10,1.98999495413351e-08,"LK433_RS00645","LK433_RS00645"
"LK433_RS11165",0.688775587425174,10.2838614830372,60.3153680927848,1.818328844551e-10,2.45165132546556e-08,"LK433_RS11165","LK433_RS11165"
"LK433_RS13040",-0.491528148694818,12.3722407250755,59.8727540553095,1.85396751295559e-10,2.45165132546556e-08,"LK433_RS13040","LK433_RS13040"
"LK433_RS13520",0.612077113817348,9.9114303274229,58.9150394215042,2.35318873559474e-10,2.97036596306664e-08,"LK433_RS13520","LK433_RS13520"
"LK433_RS07405",1.68652481068419,11.2958120860343,99.833125600518,2.56893294375465e-10,3.04348254322468e-08,"LK433_RS07405","LK433_RS07405"
"LK433_RS07840",-0.635461566358245,9.72684871660707,58.470653564658,2.63030540285892e-10,3.04348254322468e-08,"LK433_RS07840","LK433_RS07840"
"LK433_RS13265",0.616548430118443,10.4335258440021,57.913922226809,3.02586711447592e-10,3.36113319075985e-08,"LK433_RS13265","LK433_RS13265"
"LK433_RS10085",0.680462284140184,9.09153900428264,56.9037376355081,3.90867376149433e-10,4.17476424448837e-08,"LK433_RS10085","LK433_RS10085"
"LK433_RS09955",0.790998727785327,8.27890350757604,56.0690838995988,4.83793047248482e-10,4.97590108225569e-08,"LK433_RS09955","LK433_RS09955"
"LK433_RS05130",0.425640016232736,11.4849397507674,55.1731615894627,6.09364848348302e-10,6.04359351379727e-08,"LK433_RS05130","LK433_RS05130"
"LK433_RS13030",-0.49168476652365,11.3683053003937,54.7999334477391,6.71228806877372e-10,6.427594471374e-08,"LK433_RS13030","LK433_RS13030"
"LK433_RS13035",-0.49540769107996,11.508205682276,54.1819312519942,7.88357837952806e-10,7.29756571998314e-08,"LK433_RS13035","LK433_RS13035"
"LK433_RS03650",0.505045882311803,11.7811454161877,53.3807733909892,9.7247311849386e-10,8.71147693566919e-08,"LK433_RS03650","LK433_RS03650"
"LK433_RS11880",-1.38922687868038,5.80400583952785,51.78519360793,1.4841402897877e-09,1.28795549523139e-07,"LK433_RS11880","LK433_RS11880"
"LK433_RS10050",0.687180070718085,8.9562555039981,51.5125593452464,1.59633661731663e-09,1.34334145039039e-07,"LK433_RS10050","LK433_RS10050"
"LK433_RS09775",0.570573078281448,9.84449348758453,51.2563284104894,1.70979840257352e-09,1.39444260083721e-07,"LK433_RS09775","LK433_RS09775"
"LK433_RS09935",0.878293199845927,7.79935266321925,51.1538424110504,1.75748977419166e-09,1.39444260083721e-07,"LK433_RS09935","LK433_RS09935"
"LK433_RS05370",-0.605056023038897,10.8580714226928,51.0858888229639,2.26113225279347e-09,1.74421229611318e-07,"LK433_RS05370","LK433_RS05370"
"LK433_RS02345",0.974924200189901,7.66436765831377,50.0114973158398,2.39258836181779e-09,1.79573456236973e-07,"LK433_RS02345","LK433_RS02345"
"LK433_RS07140",1.24587468029407,7.04799832384521,48.9852456798765,3.16590791350692e-09,2.3136121778444e-07,"LK433_RS07140","LK433_RS07140"
"LK433_RS10980",0.542280337213341,9.93357319179067,48.283165308243,3.84073574760588e-09,2.73480081310296e-07,"LK433_RS10980","LK433_RS10980"
"LK433_RS03570",-0.499797535225115,10.2535521215808,47.4979593009035,4.77482708866549e-09,3.27495273147893e-07,"LK433_RS03570","LK433_RS03570"
"LK433_RS13255",0.685780911742348,8.31764940406332,47.4528372751588,4.83518408320620e-09,3.27495273147893e-07,"LK433_RS13255","LK433_RS13255"
"LK433_RS07665",-1.02896712299093,7.28782260093284,46.9141366870373,5.61995986080217e-09,3.71586393653515e-07,"LK433_RS07665","LK433_RS07665"
"LK433_RS10020",0.611981726521678,8.6349258906087,46.8136003819266,5.78046477476523e-09,3.73310480919141e-07,"LK433_RS10020","LK433_RS10020"
"LK433_RS06025",0.483726673387649,10.1489489391083,46.4470127755484,6.40708169312914e-09,4.04374224132264e-07,"LK433_RS06025","LK433_RS06025"
"LK433_RS06055",0.476499424651084,10.3574859156969,45.6611186676547,7.99910961405994e-09,4.9363394218321e-07,"LK433_RS06055","LK433_RS06055"
"LK433_RS12315",0.432627960050055,11.4472804926631,45.5692385901916,8.21031662470049e-09,4.95653244930288e-07,"LK433_RS12315","LK433_RS12315"
"LK433_RS03775",1.10572028153346,12.1677754167321,68.7547012704917,9.12562286964004e-09,5.39188398063625e-07,"LK433_RS03775","LK433_RS03775"
"LK433_RS10590",0.399909529247395,11.2970845908201,43.9611034855744,1.30073531407548e-08,7.5252957649742e-07,"LK433_RS10590","LK433_RS10590"
"LK433_RS07065",1.65051285848751,10.1519513604255,66.6129704189625,1.38212966652432e-08,7.8330083345674e-07,"LK433_RS07065","LK433_RS07065"
"LK433_RS11435",-0.425600749789385,11.4173416490686,42.5071308597261,1.98492878910075e-08,1.10242944946656e-06,"LK433_RS11435","LK433_RS11435"
"LK433_RS12355",0.705131817971035,8.39499412026822,42.2574267803253,2.1357524230345e-08,1.16293813309153e-06,"LK433_RS12355","LK433_RS12355"
"LK433_RS02525",1.01232624235404,6.92311196877608,41.4842596118796,2.68266934185801e-08,1.39733202420986e-06,"LK433_RS02525","LK433_RS02525"
"LK433_RS11425",1.51032667375041,9.41398207782131,61.278856089807,2.71717426385785e-08,1.39733202420986e-06,"LK433_RS11425","LK433_RS11425"
"LK433_RS13270",0.579771459033719,9.43113799148588,41.4554013780508,2.70569387150368e-08,1.39733202420986e-06,"LK433_RS13270","LK433_RS13270"
"LK433_RS02825",0.391251963645414,10.7452745584149,40.5144744325203,3.5803261076607e-08,1.80773920017705e-06,"LK433_RS02825","LK433_RS02825"
"LK433_RS09780",0.536872399348745,9.26341936082106,38.1561036400243,7.31680897294804e-08,3.6283533067637e-06,"LK433_RS09780","LK433_RS09780"
