"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01380",0.519143146564049,11.5782282062481,47.4515714050457,5.18118415772031e-09,4.7960494686631e-06,"LK433_RS01380","LK433_RS01380"
"LK433_RS01500",-0.64179504083962,8.91473566785323,48.4089742797585,3.70966293479427e-09,4.7960494686631e-06,"LK433_RS01500","LK433_RS01500"
"LK433_RS12635",-0.597941019944227,9.63341994440874,49.4151629901282,2.8144713470606e-09,4.7960494686631e-06,"LK433_RS12635","LK433_RS12635"
"LK433_RS05410",-0.509007270286436,9.77923997242994,44.8950403695796,9.94800241214659e-09,6.90640067463277e-06,"LK433_RS05410","LK433_RS05410"
"LK433_RS02145",-0.557318196736379,10.2757052782021,42.4139140569388,2.10339321223344e-08,1.16822459007445e-05,"LK433_RS02145","LK433_RS02145"
"LK433_RS06275",-0.571334807781059,9.1582209326264,40.896612341926,3.19426881223995e-08,1.47841408193172e-05,"LK433_RS06275","LK433_RS06275"
"LK433_RS01385",0.51690009317891,10.6153269575352,38.8694260063552,6.0450278955704e-08,1.86522694066655e-05,"LK433_RS01385","LK433_RS01385"
"fabF",-0.378222009758997,12.7386300160811,38.9588911950577,5.72481171145437e-08,1.86522694066655e-05,"LK433_RS02380","LK433_RS02380"
"LK433_RS05480",-0.570951478845168,9.39907890154417,39.3471517759759,5.08816108408556e-08,1.86522694066655e-05,"LK433_RS05480","LK433_RS05480"
"LK433_RS01390",0.522157803980796,9.57617891003961,37.5272096367864,8.88105947280127e-08,2.29986167235275e-05,"LK433_RS01390","LK433_RS01390"
"LK433_RS05415",-0.803738353505092,7.40259011476318,37.2237330852907,9.75619207406681e-08,2.29986167235275e-05,"LK433_RS05415","LK433_RS05415"
"LK433_RS13710",-0.467201465959895,9.84768275817832,37.1641730609915,9.93818511639648e-08,2.29986167235275e-05,"LK433_RS13710","LK433_RS13710"
"LK433_RS13645",-0.464385186455212,9.57188945577828,34.6888860110935,2.16640625583688e-07,4.62777705573771e-05,"LK433_RS13645","LK433_RS13645"
"LK433_RS12360",-0.577628890864978,8.15725103352066,33.1490813575609,3.55801150221575e-07,7.05756995832368e-05,"LK433_RS12360","LK433_RS12360"
"LK433_RS07845",0.316499284327239,12.0728116962799,32.3499268861104,4.61943807994292e-07,8.55211969866767e-05,"LK433_RS07845","LK433_RS07845"
"LK433_RS09935",-0.661439710280256,7.79935266321925,31.2244153479488,6.70085967325212e-07,0.000116301795703882,"LK433_RS09935","LK433_RS09935"
"LK433_RS02345",-0.756788219364844,7.66436765831377,30.5017806838628,8.53139923396774e-07,0.000139362915721932,"LK433_RS02345","LK433_RS02345"
"LK433_RS02140",-0.465453677838453,9.82754805823754,30.298014932462,9.13619652300352e-07,0.000140951209691004,"LK433_RS02140","LK433_RS02140"
"LK433_RS12350",-0.447869314442566,8.86258595095887,29.3843349227467,1.24471596821377e-06,0.000181925065459455,"LK433_RS12350","LK433_RS12350"
"LK433_RS02350",-0.835102351281123,7.16920598608874,29.1043694803863,1.36940251376578e-06,0.000190141539036378,"LK433_RS02350","LK433_RS02350"
"LK433_RS07405",-0.982872321753003,11.2958120860343,36.9811799299366,2.13973887184695e-06,0.000282954992719951,"LK433_RS07405","LK433_RS07405"
"LK433_RS06055",-0.349758635861327,10.3574859156969,25.74743050609,4.41996535783551e-06,0.000548655951761931,"LK433_RS06055","LK433_RS06055"
"LK433_RS13040",0.319491818156288,12.3722407250755,25.6698077261827,4.54414364080821e-06,0.000548655951761931,"LK433_RS13040","LK433_RS13040"
