"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS10200",2.92897107748801,8.74154695467778,718.822122619999,4.80782315862078e-34,9.94233964820481e-31,"LK433_RS10200","LK433_RS10200"
"LK433_RS12875",3.43956848116373,8.22378449957201,708.08752518291,7.16048948376292e-34,9.94233964820481e-31,"LK433_RS12875","LK433_RS12875"
"LK433_RS01380",-1.9026962843276,11.5782282062481,597.546906247932,1.20475489397032e-31,1.11520144685186e-28,"LK433_RS01380","LK433_RS01380"
"LK433_RS01390",-1.90413415747797,9.57617891003961,465.332416970949,3.93954738649217e-29,2.73503077307219e-26,"LK433_RS01390","LK433_RS01390"
"LK433_RS01385",-1.77776931663217,10.6153269575352,434.366705241519,3.01669682606833e-28,1.67547341719835e-25,"LK433_RS01385","LK433_RS01385"
"LK433_RS02520",2.83566424414607,7.5538802101755,414.372982895302,7.42998912514768e-28,3.43884663342252e-25,"LK433_RS02520","LK433_RS02520"
"LK433_RS07140",3.59002119903951,7.04799832384521,387.248019545884,4.05089439559369e-27,1.60704767665196e-24,"LK433_RS07140","LK433_RS07140"
"LK433_RS02525",2.9436843760487,6.92311196877608,324.520064260443,3.16130381733827e-25,1.09736758759355e-22,"LK433_RS02525","LK433_RS02525"
"LK433_RS05370",-1.55180122465155,10.8580714226928,325.02676690309,1.23615836404868e-24,3.81423530773688e-22,"LK433_RS05370","LK433_RS05370"
"LK433_RS12210",-1.7094001728618,9.49305717885652,304.636099376372,1.54930163183641e-24,4.02385667518721e-22,"LK433_RS12210","LK433_RS12210"
"LK433_RS12220",-1.72973909012429,8.3865654519612,303.562071768722,1.59389353356353e-24,4.02385667518721e-22,"LK433_RS12220","LK433_RS12220"
"LK433_RS07845",-0.939015123097579,12.0728116962799,277.074820610115,1.41738992569022e-23,3.26702974667169e-21,"LK433_RS07845","LK433_RS07845"
"LK433_RS12870",3.54579931289393,6.88524012055974,299.536066152682,1.52939815292517e-23,3.26702974667169e-21,"LK433_RS12870","LK433_RS12870"
