"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:pcoi00220",11,"Up",1.29047458035242e-09,1.329188817763e-07,9.98277326711364e-08,5.71236470284836e-07,"Arginine biosynthesis - Prevotella copri"
"path:pcoi00061",9,"Up",1.89687201165567e-08,6.51259390668446e-07,6.83432242524454e-05,0.000219979753062559,"Fatty acid biosynthesis - Prevotella copri"
"path:pcoi01212",9,"Up",1.89687201165567e-08,6.51259390668446e-07,6.83432242524454e-05,0.000219979753062559,"Fatty acid metabolism - Prevotella copri"
"path:pcoi00290",11,"Down",9.07806848551394e-08,2.33760263501984e-06,5.30560588300385e-06,2.10189484386869e-05,"Valine, leucine and isoleucine biosynthesis - Prevotella copri"
"path:pcoi00790",13,"Up",1.19967160687623e-07,2.47132351016503e-06,2.39861924591445e-07,1.23528891164594e-06,"Folate biosynthesis - Prevotella copri"
"path:pcoi03020",3,"Down",2.95991835816155e-07,5.08119318151067e-06,0.203336500914833,0.330565188937067,"RNA polymerase - Prevotella copri"
"path:pcoi00660",6,"Down",3.59659874205864e-07,5.29213814902914e-06,0.0201219722414853,0.0431783987681872,"C5-Branched dibasic acid metabolism - Prevotella copri"
"path:pcoi00780",5,"Up",7.33604101109832e-07,9.44515280178908e-06,0.0116157984376675,0.0260092878060815,"Biotin metabolism - Prevotella copri"
"path:pcoi00071",4,"Up",1.61909939370729e-05,0.000185296930613167,0.10128765740193,0.193196828007384,"Fatty acid degradation - Prevotella copri"
"path:pcoi00260",18,"Up",0.000178895353116997,0.00184262213710507,0.00119523684114186,0.00315665114455415,"Glycine, serine and threonine metabolism - Prevotella copri"
"path:pcoi00999",7,"Up",0.000388765712044396,0.00364026075823389,0.00887404617576069,0.0207733353659853,"Biosynthesis of various plant secondary metabolites - Prevotella copri; Including: Crocin biosynthesis, Cannabidiol biosynthesis, Mugineic acid biosynthesis, Pentagalloylglucose biosynthesis, Benzoxazinoid biosynthesis, Gramine biosynthesis, Coumarin biosynthesis, Furanocoumarin biosynthesis, Hordatine biosynthesis, Podophyllotoxin biosynthesis"
"path:pcoi00760",11,"Up",0.000706543120951429,0.00606449512149976,0.00704296474598211,0.0176933016789307,"Nicotinate and nicotinamide metabolism - Prevotella copri"
"path:pcoi00480",4,"Up",0.000807482068801937,0.00639774254512304,0.515762205948218,0.776802835318784,"Glutathione metabolism - Prevotella copri"
"path:pcoi00500",27,"Down",0.000949422096475885,0.00698503399550116,9.24703042699284e-26,1.90488826796052e-24,"Starch and sucrose metabolism - Prevotella copri"
"path:pcoi01503",5,"Up",0.00131459221327119,0.00902686653112887,0.0440679046109226,0.0889998857828436,"Cationic antimicrobial peptide (CAMP) resistance - Prevotella copri"
"path:pcoi00261",5,"Up",0.00140932805104279,0.00907254932858794,0.59422046035979,0.854854520232919,"Monobactam biosynthesis - Prevotella copri"
"path:pcoi01240",79,"Up",0.00186516709530731,0.0113007182833325,9.01232094055954e-25,1.32609865268233e-23,"Biosynthesis of cofactors - Prevotella copri"
"path:pcoi00052",13,"Up",0.00261471075655506,0.0144618930143154,0.176634824928257,0.298252245370664,"Galactose metabolism - Prevotella copri"
"path:pcoi00340",8,"Down",0.00266772783759216,0.0144618930143154,0.825822471505783,1,"Histidine metabolism - Prevotella copri"
"path:pcoi00470",7,"Down",0.0029657973079598,0.015273856135993,0.145832539505135,0.250345859483815,"D-Amino acid metabolism - Prevotella copri"
