"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:pcoi00450",5,"Up",0.000908373299209761,0.0935624498186054,0.91733868616787,1,"Selenocompound metabolism - Prevotella copri"
"path:pcoi00552",6,"Up",0.00193382061772274,0.099591761812721,0.926012837173464,1,"Teichoic acid biosynthesis - Prevotella copri"
"path:pcoi00860",3,"Up",0.0097755079229678,0.247033663914141,1,1,"Porphyrin metabolism - Prevotella copri"
"path:pcoi00470",7,"Up",0.0113214727367089,0.247033663914141,0.992088015340251,1,"D-Amino acid metabolism - Prevotella copri"
"path:pcoi00261",5,"Down",0.0119919254327253,0.247033663914141,0.988627241488295,1,"Monobactam biosynthesis - Prevotella copri"
"path:pcoi00910",8,"Down",0.0189864441577488,0.258583316712792,0.799262138852016,1,"Nitrogen metabolism - Prevotella copri"
"path:pcoi00300",15,"Down",0.0203287249990568,0.258583316712792,0.39291332488671,1,"Lysine biosynthesis - Prevotella copri"
"path:pcoi00010",24,"Down",0.0239361956823887,0.258583316712792,0.222006586302298,0.879517786787182,"Glycolysis / Gluconeogenesis - Prevotella copri"
"path:pcoi03440",22,"Down",0.0279116613117631,0.258583316712792,0.059384224833188,0.429333312303269,"Homologous recombination - Prevotella copri"
"path:pcoi03018",13,"Down",0.0279453388404282,0.258583316712792,0.000368198069967836,0.0189622006033435,"RNA degradation - Prevotella copri"
"path:pcoi00730",15,"Down",0.0294335338752371,0.258583316712792,0.16530412308035,0.810777365584574,"Thiamine metabolism - Prevotella copri"
"path:pcoi04122",2,"Down",0.0328599676083834,0.258583316712792,1,1,"Sulfur relay system - Prevotella copri"
"path:pcoi00625",1,"Down",0.0351472469318358,0.258583316712792,0.0351472469318358,0.306232619496468,"Chloroalkane and chloroalkene degradation - Prevotella copri"
"path:pcoi00626",1,"Down",0.0351472469318358,0.258583316712792,0.0351472469318358,0.306232619496468,"Naphthalene degradation - Prevotella copri"
"path:pcoi02010",18,"Up",0.0532203184729733,0.36544618684775,0.515657074620673,1,"ABC transporters - Prevotella copri"
"path:pcoi00541",18,"Down",0.0629290085006493,0.380566656543428,0.00255690512509545,0.0526722455769663,"O-Antigen nucleotide sugar biosynthesis - Prevotella copri"
"path:pcoi00280",1,"Down",0.0666925533674981,0.380566656543428,0.0666925533674981,0.429333312303269,"Valine, leucine and isoleucine degradation - Prevotella copri"
"path:pcoi00440",3,"Down",0.0685219129461581,0.380566656543428,0.96524816894782,1,"Phosphonate and phosphinate metabolism - Prevotella copri"
"path:pcoi00051",19,"Down",0.0702016162555838,0.380566656543428,0.296043814506484,0.995520073826716,"Fructose and mannose metabolism - Prevotella copri"
"path:pcoi01503",5,"Up",0.0836176253508895,0.430630770557081,0.495376725514363,1,"Cationic antimicrobial peptide (CAMP) resistance - Prevotella copri"
"path:pcoi03030",14,"Down",0.0902176082789654,0.442495888225402,0.863191361797607,1,"DNA replication - Prevotella copri"
"path:pcoi03020",3,"Up",0.101186664391657,0.473737565106396,0.874631340628685,1,"RNA polymerase - Prevotella copri"
"path:pcoi01232",32,"Down",0.109684013462773,0.491193625507203,0.110732666886859,0.633636927185914,"Nucleotide metabolism - Prevotella copri"
"path:pcoi00780",5,"Down",0.137796116482556,0.561400256578054,1,1,"Biotin metabolism - Prevotella copri"
"path:pcoi00620",18,"Down",0.139364353541775,0.561400256578054,0.261653960014937,0.962512781483517,"Pyruvate metabolism - Prevotella copri"
"path:pcoi00630",13,"Down",0.143186060508383,0.561400256578054,0.858881671890874,1,"Glyoxylate and dicarboxylate metabolism - Prevotella copri"
"path:pcoi00220",11,"Down",0.148599767628758,0.561400256578054,0.534008646327233,1,"Arginine biosynthesis - Prevotella copri"
"path:pcoi03060",12,"Down",0.152613661982384,0.561400256578054,0.183492351846355,0.821726619138025,"Protein export - Prevotella copri"
"path:pcoi00020",16,"Down",0.163588807174604,0.581022315137387,0.802148156548519,1,"Citrate cycle (TCA cycle) - Prevotella copri"
"path:pcoi02040",6,"Down",0.176237278030132,0.605081321236787,1,1,"Flagellar assembly - Prevotella copri"
"path:pcoi02024",19,"Down",0.184774676814568,0.605138367782921,0.0466690630038349,0.369762576107308,"Quorum sensing - Prevotella copri"
"path:pcoi03010",54,"Up",0.192371699072991,0.605138367782921,0.158501098104382,0.810777365584574,"Ribosome - Prevotella copri"
"path:pcoi01120",87,"Down",0.193879282881907,0.605138367782921,0.0995645377043821,0.603243963738315,"Microbial metabolism in diverse environments - Prevotella copri"
"path:pcoi00970",22,"Up",0.211092499545316,0.631960289248297,0.179392414957443,0.821726619138025,"Aminoacyl-tRNA biosynthesis - Prevotella copri"
"path:pcoi00330",10,"Up",0.214743787608645,0.631960289248297,0.991343836475054,1,"Arginine and proline metabolism - Prevotella copri"
"path:pcoi00052",13,"Down",0.226584402842366,0.647049365193335,0.570224541665483,1,"Galactose metabolism - Prevotella copri"
"path:pcoi00543",1,"Down",0.232435208855858,0.647049365193335,0.232435208855858,0.886697278227903,"Exopolysaccharide biosynthesis - Prevotella copri"
"path:pcoi01230",94,"Down",0.247448265715698,0.670715036018865,0.0660213910259639,0.429333312303269,"Biosynthesis of amino acids - Prevotella copri"
"path:pcoi00480",4,"Down",0.278730743901342,0.720760949118253,1,1,"Glutathione metabolism - Prevotella copri"
"path:pcoi02020",25,"Down",0.279907164706118,0.720760949118253,3.37854874670751e-06,0.000347990520910874,"Two-component system - Prevotella copri"
"path:pcoi00525",2,"Down",0.297007645361556,0.746141157859519,1,1,"Acarbose and validamycin biosynthesis - Prevotella copri"
"path:pcoi00550",20,"Up",0.318393114343855,0.775025355969935,0.537560215096747,1,"Peptidoglycan biosynthesis - Prevotella copri"
"path:pcoi00350",4,"Down",0.3235542748224,0.775025355969935,1,1,"Tyrosine metabolism - Prevotella copri"
"path:pcoi01501",9,"Up",0.349101372482427,0.775831102063409,0.309427815057188,0.995970779715324,"beta-Lactam resistance - Prevotella copri"
"path:pcoi01110",203,"Down",0.350095784560439,0.775831102063409,0.0262887471185459,0.300860105912247,"Biosynthesis of secondary metabolites - Prevotella copri"
